Query ID	Subject ID	Percent Identity	Alignment Length	Mismatches	Gap Openings	Query Start	Query End	Subject Start	Subject End	E-Value	Bit Score
tr|A0A381N483|A0A381N483_9ZZZZ	tr|A0A0G3BI90|A0A0G3BI90_9BURK	43.478	230	126	3	52	279	65	292	5.43e-66	200.0
tr|A0A381N483|A0A381N483_9ZZZZ	sp|G9BY57|PETH_UNKP	42.739	241	128	5	25	264	43	274	3.65e-64	195.0
tr|A0A381N483|A0A381N483_9ZZZZ	ANP21910.1	41.887	265	147	5	22	282	43	304	1.15e-63	194.0
tr|A0A381N483|A0A381N483_9ZZZZ	RLU00646.1	42.213	244	136	4	25	266	54	294	1.22e-62	192.0
tr|A0A381N483|A0A381N483_9ZZZZ	tr|A0A1H6AD45|A0A1H6AD45_9GAMM	41.833	251	141	4	25	273	46	293	2.56e-62	191.0
tr|A0A381N483|A0A381N483_9ZZZZ	tr|R4YKL9|R4YKL9_OLEAN	40.574	244	140	4	25	266	52	292	2.94e-62	191.0
tr|A0A381N483|A0A381N483_9ZZZZ	UUT36764.1	42.623	244	135	4	25	266	49	289	1.5599999999999998e-61	189.0
tr|A0A381N483|A0A381N483_9ZZZZ	UUT36763.1	39.921	253	145	4	25	272	54	304	1.75e-59	184.0
tr|A0A381N483|A0A381N483_9ZZZZ	GBD22443.1	40.664	241	133	5	25	264	43	274	1.8200000000000002e-59	183.0
tr|A0A381N483|A0A381N483_9ZZZZ	ANP21911.1	40.53	264	151	5	20	282	41	299	8.16e-59	182.0
tr|A0A381N483|A0A381N483_9ZZZZ	sp|A0A0K8P6T7|PETH_IDESA	39.464	261	150	6	22	281	33	286	2.42e-57	177.0
tr|A0A381N483|A0A381N483_9ZZZZ	WP_078759821.1	40.467	257	138	6	25	279	57	300	3.11e-57	178.0
tr|A0A381N483|A0A381N483_9ZZZZ	sp|F7IX06|PETH2_THEAE	45.07	213	108	4	52	264	76	279	3.44e-57	177.0
